/* polyomino.dat -- polyominoes for tetris & welltris */

/* Maximum number of squares was chosen to be 6 because if 7, it leaves a */
/*  hole: @@@ */
/*        @ @ */
/*        @@  */
/*  likewise, 3 was chosen for diagonal mode because if 4, it leaves a hole: */
/*   @  */
/*  @ @ */
/*   @  */

/* '+' Prelude part */
/*   1st number = number of squares in a polyomino */
/*   2nd number = number of distinct polyominoes & rotations & reflections */
/*   3rd number = number of distinct polyominoes & reflections */
/*   4th number = number of distinct polyominoes */
/*   5th number = O do not allow rotation and reflection */
/*                1 allow rotation but not reflection */
/*                2 allow rotation and reflection */
/*   6th number = diagonal mode to consider? 0 or 1 (if 0, no 7-10) */
/*   7th number = diagonal number of distinct polyominoes & rots & refls */
/*   8th number = diagonal number of distinct polyominoes & reflections */
/*   9th number = diagonal number of distinct polyominoes */
/*  10th number = O do not allow rotation and reflection for diagonal mode */
/*                1 allow rotation but not reflection for diagonal mode */
/*                2 allow rotation and reflection for diagonal mode */

/* '*' Main parts */
/*   1st number = n-> consider an n^2 square */
/* '#' polyomino group (follows a '*') */
/*   1st number = number of squares in a polyomino */
/*   2nd number = number of polyominoes (incl rot & refl) in a n^2 square */
/*   3rd number = if it is there, number of polyominoes (incl rot & refl) */
/*       in a n^2 square with diagonal mode */
/* The polyomino (follows a '#') */
/*   1st number = numbered polyomino (there for your benefit) */
/*   2nd number = rotation pointer (usually the next polyomino) */
/*   3rd number = reflection pointer */
/*   4th number = number of rows down to start */
/*   5th number = start number (0, 1, or 2) */
/*       0=> starter for no turns permitted (no reflections or rotations) */
/*       1=> starter for allow rotations and no turns permitted */
/*       2=> starter for reflections, rotations, and no turns permitted */
/*   Next number (if diagonal mode) = start number for diagonal mode */
/*   The proceeding 2 or 3 numbers are repeated for gradual appearance */
/*       Pieces either JUMPIN or appear GRADUALly */
/*   The last group of n^2 numbers is the actual polyomino */
/*       0=>     empty square */
/*       1..16=> used square */
/* '~' debug (preceeds a '#') */
/*   1st number = number of polyominoes to skip */

/* PRELUDE */
/* + Polyomino States(None Rot Refl) Style Diagonal [States(N R R) Style] */
/* + 1 1 1 1 0 1     1 1 1 0 */
+ 2 2 1 1 0 1     4 2 2 0
+ 3 6 2 2 0 1     20 6 5 1
+ 4 19 7 5 1 0
+ 5 63 18 12 2 0
+ 6 216 60 35 2 0

/* MAIN */
/* * X    (polyomino fills X^2 square) */
/* # Polyomino Number_of_Polyominoes_Normal [Number_of_Polyominoes_Diagonal] */
/* Ref_Num Ptr_Rot Ptr_Refl (Start_Location Start_N [Start_D])J&G Shape_Array */
/* * 1 */
/* # 1 1 */
/* 0 0 0  0 2 2 1 2 2   16 */
* 2
# 2 2 4
0 1 0  1 2 2 1 0 0   0 0  4 1
1 0 1  0 0 0 1 2 2   0 2  0 8

2 3 3  0 0 2 1 0 2   0 16  16 0
3 2 2  0 0 0 1 0 0   16 0  0 16
# 3 4 4
0 1 3  0 2 2 1 2 2   6 1  8 0
1 2 2  0 0 0 1 0 0   2 0  12 1
2 3 1  0 0 0 1 0 0   0 2  4 9
3 0 0  0 0 0 1 0 0   4 3  0 8
# 4 1
0 0 0  0 2 1 2   6 3  12 9
* 3
# 3 2 16
0 1 0   1 2 2 1 0 0   0 0 0  4 5 1   0 0 0
1 0 1   0 0 0 2 2 2   0 2 0  0 10 0  0 8 0

2 3 3     0 0 2 2 0 2   16 0 0  0 16 0   0 0 16
3 2 2     0 0 0 2 0 0   0 0 16  0 16 0   16 0 0
4 5 8     1 0 2 2 0 0   0 0 0   0 4 1    16 0 0
5 6 11    0 0 0 2 0 2   0 2 0   0 8 0    0 0 16
6 7 10    1 0 0 2 0 0   0 0 0   0 0 16   4 1 0
7 4 9     0 0 0 2 0 0   0 16 0  0 0 2    0 0 8
8 9 4     1 0 1 2 0 0   0 0 0   4 1 0    0 0 16
9 10 7    0 0 0 2 0 0   0 0 16  0 2 0    0 8 0
10 11 6   1 0 0 2 0 0   0 0 0   16 0 0   0 4 1
11 8 5    0 0 0 2 0 1   0 0 2   0 0 8    0 16 0
12 13 12  1 0 2 2 0 0   0 0 0   16 0 16  0 16 0
13 14 15  0 0 0 2 0 2   0 16 0  0 0 16   0 16 0
14 15 14  1 0 0 2 0 0   0 0 0   0 16 0   16 0 16
15 12 13  0 0 0 2 0 0   0 0 16  0 16 0   0 0 16
# 4 16
0 1 4     1 2 2 0   0 0 0  6 5 1   8 0 0
1 2 7     0 0 2 0   0 2 0  0 10 0  0 12 1
2 3 6     1 0 2 0   0 0 0  0 0 2   4 5 9
3 0 5     0 0 2 2   0 4 3  0 0 10  0 0 8
4 5 0     1 1 2 0   0 0 0  4 5 3   0 0 8
5 6 3     0 0 2 1   0 6 1  0 10 0  0 8 0
6 7 2     1 0 2 0   0 0 0  2 0 0   12 5 1
7 4 1     0 0 2 0   0 0 2  0 0 10  0 4 9
8 9 8     1 2 2 0   0 0 0  4 7 1   0 8 0
9 10 11   0 0 2 2   0 2 0  0 14 1  0 8 0
10 11 10  1 0 2 0   0 0 0  0 2 0   4 13 1
11 8 9    0 0 2 0   0 0 2  0 4 11  0 0 8
12 13 14  1 2 2 0   0 0 0  4 3 0   0 12 1
13 12 15  0 0 2 2   0 0 2  0 6 9   0 8 0
14 15 12  1 1 2 0   0 0 0  0 6 1   4 9 0
15 14 13  0 0 2 1   0 2 0  0 12 3  0 0 8
# 5 37
0 1 0     1 2 2 0   0 0 0  6 5 3    8 0 8
1 2 3     0 0 2 2   0 6 1  0 10 0   0 12 1
2 3 2     1 0 2 0   0 0 0  2 0 2    12 5 9
3 0 1     0 0 2 0   0 4 3  0 0 10   0 4 9
4 5 8     1 2 2 0   0 0 0  6 7 1    12 9 0
5 6 11    0 0 2 0   0 2 0  0 14 3   0 12 9
6 7 10    1 0 2 0   0 0 0  0 6 3    4 13 9
7 4 9     0 0 2 2   0 6 3  0 12 11  0 0 8
8 9 4     1 1 2 0   0 0 0  4 7 3    0 12 9
9 10 7    0 0 2 1   0 6 3  0 14 9   0 8 0
10 11 6   1 0 2 0   0 0 0  6 3 0    12 13 1
11 8 5    0 0 2 0   0 0 2  0 6 11   0 12 9
12 13 12  0 2 2 2   4 7 1  0 10 0   0 8 0
13 14 15  0 0 2 0   2 0 0  14 5 1   8 0 0
14 15 14  0 0 2 0   0 2 0  0 10 0   4 13 1
15 12 13  0 0 2 0   0 0 2  4 5 11   0 0 8
16 17 19  0 2 2 2   6 5 1  10 0 0   8 0 0
17 18 18  0 0 2 0   2 0 0  10 0 0   12 5 1
